t_ms,x_mm,y_mm,yaw_deg
91080,2684,-82,48.6
91181,2713,-51,43.7
91281,2750,-18,40.7
91380,2790,14,38.3
91479,2835,47,33.2
91579,2883,72,21.8
91680,2929,86,13.6
91778,2970,96,17.3
91880,3006,109,20.6
91981,3037,120,18.7
92081,3067,129,13.1
92180,3105,136,10.2
92280,3143,143,9.9
92379,3182,149,5.4
92479,3224,150,-2.2
92579,3266,146,-8.0
92679,3309,138,-11.2
92779,3350,130,-11.6
92879,3394,121,-11.5
92980,3438,111,-15.4
93080,3487,94,-22.4
93179,3531,74,-25.4
93279,3572,54,-27.7
93381,3616,30,-30.1
93479,3661,0,-38.4
93579,3701,-36,-45.2
93679,3736,-73,-47.4
93779,3772,-111,-44.4
93879,3813,-150,-44.6
93979,3849,-187,-48.5
94079,3885,-232,-51.8
94181,3921,-277,-51.6
94279,3962,-328,-51.7
94379,4002,-381,-54.9
94479,4040,-439,-57.9
94579,4078,-501,-58.0
94679,4117,-560,-56.1
94779,4152,-612,-55.3
94879,4187,-661,-54.6
95031,4220,-710,-58.3
95079,4247,-761,-66.0
95179,4268,-822,-75.0
95290,4281,-882,-81.1
95390,4285,-934,-92.9
95481,4277,-974,-109.7
95581,4263,-1002,-122.9
95682,4245,-1027,-126.8
95780,4229,-1049,-124.5
95881,4218,-1067,-121.7
95985,4211,-1077,-126.7
96080,4197,-1093,-134.9
96187,4176,-1113,-135.4
96282,4153,-1136,-135.5
96381,4127,-1160,-139.6
96479,4094,-1184,-150.3
96580,4052,-1203,-160.9
96681,4009,-1214,-169.1
96783,3973,-1218,-176.5
96879,3941,-1218,-184.1
96983,3911,-1214,-193.4
97079,3876,-1204,-194.6
97184,3836,-1193,-197.1
97295,3794,-1179,-201.2
97386,3760,-1164,-206.6
97480,3733,-1148,-214.7
97579,3706,-1127,-221.5
97680,3682,-1103,-228.0
97781,3663,-1079,-235.6
97880,3647,-1051,-243.8
97979,3635,-1022,-251.3
98079,3625,-991,-256.2
98179,3619,-957,-262.6
98279,3617,-924,-269.5
98380,3618,-893,-274.1
98482,3621,-859,-275.0
98579,3624,-818,-273.3
98679,3626,-776,-273.6
98779,3630,-739,-278.3
98879,3636,-708,-287.9
98979,3648,-681,-297.8
99078,3662,-656,-298.5
99179,3676,-630,-299.1
99279,3688,-610,-303.6
99378,3701,-591,-307.0
99479,3727,-559,-308.3
99579,3757,-519,-306.0
99680,3781,-485,-302.4
99780,3800,-453,-301.5
99879,3819,-421,-300.8
99979,3839,-388,-301.2
100079,3859,-356,-301.1
100181,3879,-321,-299.9
100279,3901,-282,-298.3
100379,3921,-244,-298.3
100479,3943,-205,-299.3
100579,3968,-159,-299.0
100679,3994,-112,-297.5
100780,4016,-69,-296.7
100880,4039,-23,-296.7
100980,4065,27,-298.3
101079,4093,77,-298.8
101179,4121,130,-296.9
101279,4145,179,-294.8
101379,4167,228,-294.0
101479,4187,275,-293.4
101580,4208,321,-295.1
101680,4230,366,-296.8
101780,4253,413,-295.0
101879,4272,459,-289.8
101979,4283,499,-280.6
102079,4287,534,-272.2
102193,4287,571,-268.8
102282,4287,606,-270.0
102379,4286,641,-267.6
102480,4283,677,-259.6
102579,4274,708,-248.6
102682,4261,736,-241.2
102779,4246,762,-239.0
102879,4226,792,-235.1
102979,4202,823,-228.9
103079,4175,849,-220.0
